Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,hybrid_neg,hybrid_neu,hybrid_pos,hybrid_compound,hybrid_sentiment,confidence,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
1,0.0,0.695,0.305,0.9441,0.009624231,0.049980387,0.94039536,0.006736961,0.24348627,0.7497767,0.93476975,Positive,0.7497767,B001E4KFG0,A3SGXH7AUHU8GW,delmartian,1,1,5,1303862400,Good Quality Dog Food,I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most.
2,0.138,0.862,0.0,-0.5664,0.5089861,0.45241353,0.038600333,0.3976903,0.5752895,0.027020233,-0.49919003,Neutral,0.5752895,B00813GRG4,A1D87F6ZCVE5NK,dll pa,0,0,1,1346976000,Not as Advertised,"Product arrived labeled as Jumbo Salted Peanuts...the peanuts were actually small sized unsalted. Not sure if this was an error or if the vendor intended to represent the product as ""Jumbo""."
3,0.091,0.754,0.155,0.8265,0.003228897,0.09806738,0.8987037,0.029560229,0.29484716,0.6755926,0.8747823,Positive,0.6755926,B000LQOCH0,ABXLMWJIXXAIN,"Natalia Corres ""Natalia Corres""",1,1,4,1219017600,"""Delight"" says it all","This is a confection that has been around a few centuries.  It is a light, pillowy citrus gelatin with nuts - in this case Filberts. And it is cut into tiny squares and then liberally coated with powdered sugar.  And it is a tiny mouthful of heaven.  Not too chewy, and very flavorful.  I highly recommend this yummy treat.  If you are familiar with the story of C.S. Lewis' ""The Lion, The Witch, and The Wardrobe"" - this is the treat that seduces Edmund into selling out his Brother and Sisters to the Witch."
4,0.0,1.0,0.0,0.0,0.0022951285,0.090219185,0.90748566,0.00160659,0.36315346,0.63523996,0.6336334,Positive,0.63523996,B000UA0QIQ,A395BORC6FGVXV,Karl,3,3,2,1307923200,Cough Medicine,If you are looking for the secret ingredient in Robitussin I believe I have found it.  I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda.  The flavor is very medicinal.
5,0.0,0.552,0.448,0.9468,0.0016347276,0.01030247,0.98806286,0.0011443093,0.17281173,0.826044,0.97453976,Positive,0.826044,B006K2ZZ7K,A1UQRSCLF8GW1T,"Michael D. Bigham ""M. Wassir""",0,0,5,1350777600,Great taffy,"Great taffy at a great price.  There was a wide assortment of yummy taffy.  Delivery was very quick.  If your a taffy lover, this is a deal."
6,0.029,0.809,0.163,0.883,0.0061295927,0.021795861,0.97207457,0.012990715,0.2579571,0.7293522,0.9410615,Positive,0.7293522,B006K2ZZ7K,ADT0SRK1MGOEU,Twoapennything,0,0,4,1342051200,Nice Taffy,"I got a wild hair for taffy and ordered this five pound bag. The taffy was all very enjoyable with many flavors: watermelon, root beer, melon, peppermint, grape, etc. My only complaint is there was a bit too much red/black licorice-flavored pieces (just not my particular favorites). Between me, my kids, and my husband, this lasted only two weeks! I would recommend this brand of taffy -- it was a delightful treat."
7,0.034,0.693,0.273,0.9346,0.0013047534,0.007773783,0.99092144,0.011113328,0.21334165,0.775545,0.9731116,Positive,0.775545,B006K2ZZ7K,A1SP2KVKFXXRU1,David C. Sullivan,0,0,5,1340150400,Great!  Just as good as the expensive brands!,"This saltwater taffy had great flavors and was very soft and chewy.  Each candy was individually wrapped well.  None of the candies were stuck together, which did happen in the expensive version, Fralinger's.  Would highly recommend this candy!  I served it at a beach-themed party and everyone loved it!"
8,0.0,0.52,0.48,0.9487,0.002029356,0.005685204,0.9922854,0.0014205492,0.15997964,0.83859974,0.97778916,Positive,0.83859974,B006K2ZZ7K,A3JRGQVEQN31IQ,Pamela G. Williams,0,0,5,1336003200,"Wonderful, tasty taffy",This taffy is so good.  It is very soft and chewy.  The flavors are amazing.  I would definitely recommend you buying it.  Very satisfying!!
9,0.0,0.851,0.149,0.6369,0.0038735815,0.094156355,0.90197,0.002711507,0.32120943,0.67607903,0.81973755,Positive,0.67607903,B000E7L2R4,A1MZYO9TZK0BBI,R. James,1,1,5,1322006400,Yay Barley,Right now I'm mostly just sprouting this so my cats can eat the grass. They love it. I rotate it around with Wheatgrass and Rye too
10,0.0,0.705,0.295,0.8313,0.0031034572,0.05591216,0.9409844,0.00217242,0.2506385,0.7471891,0.9059067,Positive,0.7471891,B00171APVA,A21BT40VZCCYT4,Carol A. Reed,0,0,5,1351209600,Healthy Dog Food,This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.
